RU000A0ZZMA3,Сбербанк ПАО ИОС 001P-18R,СберИОС18,Sberbank IOS 001P-18R,1000.0,SUR,2018-09-21,RU000A0ZZMA3,472581,stock_bonds,2022-03-31,47.6,,exchange_bond
RU000A101JD7,ДОМ.РФ Ипотечный агент 05-001P,ИА ДОМ 5P1,DOM.RF Mortgage agent 05-001P,537.28,SUR,2020-03-18,RU000A101JD7,7207044,stock_bonds,2045-04-28,8.8,,corporate_bond
RU000A102DV0,СберИОС 001Р-379R LKOH_asn 4Г,СберИОС379,SberIOS 001P-379R LKOH_asn 4Y,1000.0,SUR,2020-12-21,RU000A102DV0,76522,stock_bonds,2024-12-23,0.4,,exchange_bond
RU000A0JXQK2,ПАО НК Роснефть 001P-04,Роснфт1P4,Rosneft  001P-04,1000.0,SUR,2017-05-04,RU000A0JXQK2,40000000,stock_bonds,2027-04-22,43.13,,exchange_bond
RU000A101129,Россельхозбанк АО БО-01R-Р,РСХБ Б01R,Rosselkhozbank JSC BO-01R-P,1000.0,SUR,2019-11-13,RU000A101129,5000000,stock_bonds,2022-11-02,5.73,,exchange_bond
RU000A0JV235,ПАО НК Роснефть БО-10,РоснфтБО10,Rosneft  BO-10,1000.0,SUR,2014-12-11,RU000A0JV235,20000000,stock_bonds,2024-11-28,46.87,,exchange_bond
RU000A0JX413,ПАО НК Роснефть 001P-03,Роснфт1P3,Rosneft  001P-03,1000.0,SUR,2016-12-29,RU000A0JX413,20000000,stock_bonds,2026-12-17,47.37,,exchange_bond
RU000A0JUQ39,ГПБ (АО) БО-09,ГПБ БО-09,Gazprombank BO-09,1000.0,SUR,2014-06-27,RU000A0JUQ39,10000000,stock_bonds,2024-06-27,28.33,,exchange_bond
RU000A103GX7,Россельхозбанк БO-10-002P,РСХБ 2Р10,Rosselkhozbank BO-10-002P,1000.0,SUR,2021-08-05,RU000A103GX7,10000000,stock_bonds,2024-08-01,37.9,,exchange_bond
RU000A103CP2,СберИОС 001Р-455R 7Г РБЧ-М,СберИОС455,SberIOS 001P-455R 7Y RBC-M,1000.0,SUR,2021-07-29,RU000A103CP2,205356,stock_bonds,2028-08-03,0.7,,exchange_bond
XS1577961516,GTLK Europe DAC 31/5/24,GTLK-24,GTLK Europe DAC 31/5/24,1000.0,USD,2017-05-31,XS1577961516,500000,stock_bonds,2024-05-31,25.625,,corporate_bond
RU000A100XB4,СберИОС001Р-145R 4.5Y O.G.100%,СберИОС145,SberIOS001P-145R 4.5Y O.G.100%,1000.0,SUR,2019-10-15,RU000A100XB4,341320,stock_bonds,2024-04-15,47.52,,exchange_bond
RU000A0ZZ885,КАМАЗ ПАО об. БО-09,КАМАЗ БО-9,KAMAZ PTC BO-09,1000.0,SUR,2018-05-29,RU000A0ZZ885,3000000,stock_bonds,2033-05-10,45.38,,corporate_bond
